FulfillmentCenter,Location,Country,SquareFeet,YearOpened,Description of Operation
PHX3,"6835 West Buckeye Road, Phoenix, Arizona, 85043 ",,"1,000,000",Sep-07,"Large Sortable Fulfillment CenterOriginally opened at 605,000 Sq. Ft. Expanded by 400,000 Sq. Ft.  in Dec. 2011"
PHX5,"16920 W. Commerce Dr. , Goodyear, Arizona, 85338-3620",,"1,200,000",Jun-08,"Non-sortable Fulfillment CenterOriginally opened at 800,000 Sq. Ft. Expanded to 1.2 Million Sq. Ft + a 230,000 sq ft mezzanine in 2011."
PHX6TFC1,"4750 & 5050 West Mohave Street, Phoenix, Arizona, 85043-4428",,"1,207,000",Oct-10,Large Sortable Fulfillment Center in one half of the buildingSmall Sortable Fulfillment Center in the other half
PHX7,"800 N. 75th Ave, Phoenix, Arizona, 85043-3101",,"1,200,000",Sep-11,Small Sortable and Non Sortable Fulfillment Center
UAZ1,"Phoenix, Arizona, 85001",, ,2015,Prime Now Hub
ONT2,"1910 E. Central Ave., Southgate Building 3, San Bernardino, California, 92408-0123",,"951,700",Oct-12,Small Sortable Fulfillment Center2000 associates  
ONT5/ONT7,"2020 E. Central Ave., Southgate Building 4, San Bernardino, California, 92408-2606",,"514,600","October, 2013",Building 4 conects to Building 3ONT5 services Amazon.Fresh  Grocery orders to a subset of the Los Angeles marketONT5 also serves as a Sortation center for Greater Los AngelesONT7 is Amazon Pantry
ONT6,"24208 San Michelle Rd, California, 92551-9561 ",,"1,250,000",Aug-14,"Small Sortable Fulfillment Center3,000 people"
ONT8,"24300 Nandina Ave., Moreno Valley, California, 92551-9534",,"769,320",Aug-14,Redistribution Center 
ONT9,"2125 W. San Bernardino Ave., Redlands, California, 92374-5005",,"700,000",October 142014,Non Sortable Fulfillment Center Ships large items like televisions
OAK3,"255 Park Center Drive, Patterson, California, 95363-8876 ",,"1,000,000"," September, 2013",Non Sortable Fulfillment Center Ships larger products such as barbecues and appliances.500 people
OAK4,"1555 N. Chrisman Rd, Tracy, California, 95304-9370",,"1,000,000","October, 2013","Large and Small Sortable Fulfillment Center Facility includes automation / robotics (Kiva) for small sortable products1,800 people"
OAK5/OAK6,"38811 Cherry Street, Newark, California, 94560-4939",,"574,650",2014,Sortation center to service the San Francisco Bay area.Amazon.Fresh Delivery Station200 people
SNA4,"2496 W Walnut, Rialto, California, 92376-3009",,"882,200",Nov-15,Large Non-Sortable300 people
XUSD,"1909 Zephyr Street, Stockton, California, 95206",,"508,000","October, 2013","Large nonsortable (e.g. canoes, fishing rods)Fulfillment center is outsourced to 3PL Menlo Logistics"
DSF1,"990 Beecher St, San Leandro, California, 94577 ",,"42,360",Sep-13,Amazon.Fresh Delivery Station
DSF3,"1700 Montague Expy, San Jose, California, 95131 ",,"25,820",2013,Amazon.Fresh Delivery Station
DSF5,"250 Utah Avenue, South San Francisco, California, 94080-6801 ",,"188,000",2016,Amazon.Fresh Delivery Station
DSD2,"2777 Loker Ave W, Carlsbad, California, 92010-6517",,"39,730",2013,Amazon.Fresh  Delivery Station
DLA1,"900 W Florence Ave, Inglewood, California, 90301 ",,"27,740",2013,Amazon.Fresh  Delivery Station
DLA2,"5650 Dolly Ave, Buena Park, California, 90621 ",,"330,000",2013,Amazon.Fresh Delivery StationOperated by 3PL States Logistics
DLA3,"5829 Smithway St, Commerce, California, 90040 ",,"48,370",2013,Amazon.Fresh  Delivery Station
DLA4,"9031 Lurline Ave, Chatsworth, California 91311 ",,"29,210",2013,Amazon.Fresh  Delivery Station
UCA1,"888 Tennessee Street, San Francisco, California, 94112",,"39,000",2015,Prime Now Hub
UCA2,"Redondo Beach, California, 90277",, ,2015,Prime Now Hub
UCA3,"11800 W Olympic Blvd., Los Angeles, California, 90064",,"28,800",2015,Prime Now Hub for Santa Monica
UCA4,"2006 McGaw Ave, Irvine, California, 92614",,"45,290",2015,Prime Now Hub
UCA5,"Silver Lake, Los Angeles, California, 90001",, ,2015,Prime Now Hub
UCA6,"San Diego, California, 92154",, ,2015,Prime Now Hub
UCA7,"222 Commercial Street, Sunnyvale, California, 94085-4508",,"24,000",2015,Prime Now Hub
UCA8,"3100 San Pablo Ave. Ste 120, West Berkley, California, 94702",,"21,000",2015,Prime Now Hub
UCA9,"Near 65th and 14th, Sacramento, California, 94203",, ,2015,Prime Now Hub
BDL1,"801 Day Hill Road, Windsor, Connecticut, 06095",,"1,000,000",May-15,"300+ full time people hired1 M SF + 500,000 SF MezzanineShips large items like televisions"
BDL5,"29 Research Parkway, Wallingford, Connecticut, 06492",,"184,875",Fall2015,Sortation center for the Windsor FCOpening Date TBD
PHL1,"1 Centerpoint Blvd, New Castle, Delaware, 19720",,"202,000",Nov-97,Big SortableAmazon’s 2nd DC in its network
PHL7,"560 Merrimac Ave, Middletown, Delaware, 19709-4652",,"1,200,000",Oct-12,"1600 full time associates + 3,500 seasonal workers at peak"
MCO5,"205 Deen Still Road , Davenport, Florida, 33897-9409",,"270,000",2014,Sortation Center to service Tampa Bay & Lakeland FCs
TPA1,"3350 Laurel Ridge Ave, Ruskin, Florida, 33570-5526",,"1,100,000",Sep-14,Small Sortable1000 full time people + 100 seasonal workers.Investment is $200 Million.  Facility to be expanded (doubled) in 2015 - 2016
TPA2,"1760 County Line Rd. , Lakeland, Florida, 33811-1808Copyright Offense MWPVL",,"1,000,000",December 2014,Large non-sortable items such as televisions248 full time people + up to 137 seasonal workers.Investment is $102 Million.  
MIA5,"1900 NW 132nd Place, Doral (Miami), Florida, 33182-1920",,"335,800",Oct-14,Sortation center and Prime Now Hub located due west of Miami International AirportFacility staffs 300 associates
UFL1,"15600 NW 15th Ave, Miami Gardens, Florida, 33169 ",,"37,440",Mar-15,Prime Now Hub
UFL3,"Tampa, Florida",, ,Feb-16,Prime Now Hub
UFL4,"Orlando, Florida",, ,Feb-16,Prime Now Hub
ATL6,"4200 North Commerce, Atlanta, Georgia, 30344-5707",,"301,200",Mar-14,Sortation Center to service Atlanta market
ATL7UGA1,"6855 Shannon Parkway, Fulton, Union City, Georgia, 30291",,"517,080",Q42015,Sortation Center and Prime Now Hub
ATL8,"2201 Thornton Road, Lithia Springs, Georgia, 30122-3895",,"733,200",Q42015,New facility unannounced
UGA2,"Atlanta, Georgia, 30318",, ,Feb-16,Prime Now Hub
IND1,"4255 Anson Blvd, Whitestown, Indiana, 46075-4412",,"1,000,000",Aug-08,"Big SortableExpanded by 400,000 Sq. Ft. in February, 20112,000 associates"
IND2IND3,"715 & 717 Airtech Parkway, Plainfield, Indiana, 46168 ",,"947,300",Oct-08,"Non-Sortable1,200 associates"
IND4,"710 S. Girls School Road, Indianapolis, Indiana, 46231-1132",,"902,850",Jun-11,Dedicated Text Book FC
IND5,"800 Perry Road, Plainfield, Indiana, 46168-7937",,"925,800",Aug-11,Non-Sortable
SDF8,"900 Patrol Road, Jeffersonville, Indiana, 47130-7761",,"1,200,000",Oct-12,"1,000 associatesSmall Sortable"
XUSE,"5100 S. Indianapolis Road, Whitestown, Indiana, 46075",,"624,000",Oct-13,"Large nonsortable (e.g. canoes, fishing rods)Fulfillment center is outsourced to 3PL Menlo Logistics"
MDW1,"Greater Chicago Area, Illinois",,"1,000,000",2017,"New $75 Million project announced for Illinois to staff 1,000 associates1 M Sq Ft Building with 300,000 SF Mezzanine"
MDW2,"401 E. Laraway Road, Joliet, Illinois, 60433-9642",,"475,100",2015-16,"New small sortable fulfillment center planned for 2015 - 20161,000 associates to be hired."
MDW5,"1111 N. Cherry Ave., Goose Island, Illinois, 60642",,"51,970",Jul-15,Prime Now Hub
MDW6,"2801 S. Western Ave, Chicago, Illinois, 60608",,"150,000",2015-16,Probably a new small sortable fulfillment center planned for 2015 - 2016
DCH2,"8220 Austin Ave, Morton Grove, Illinois, 60053",,"39,330",2015,Amazon.Fresh Delivery Station
DCH3,"4500 Western Ave, Lisle, Illinois, 60532",,"68,000",2015,Amazon.Fresh Delivery Station
UIL1,"Chicago, Illinois",, , ,Prime Now Hub
MCI5,"16851 W 113th St, Lenexa, Kansas, 66219",,"260,700",Dec-14,Sortation center
CVG1,"Bldg. F Park W Int’l,, 1155 Worldwide Blvd., Hebron, Kentucky, 41048-8648",,"484,000",Jun-05,"Specialty Site for ClothingResponsible for fulfillment of shoes, purses for Amazon.com and Endless.com"
CVG2,"1600 Worldwide Blvd., Hebron, Kentucky, 41048",,"543,000",Dec-05,Specialty SiteReturns Center
CVG3,"3680 Langley Dr., Hebron, Kentucky, 41048 ",,"711,400",Jul-07,Redistribution Center
CVG5CVG7,"2285 Litton Way, Hebron, Kentucky, 41048-8435 ",,"598,000",Jan-14,CVG5 is a Sortation CenterCVG7 is Amazon Pantry
